imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
8,ORB,BRISK,6.85887,1.64928,127,54.6723,88,8.50814,10.343
9,ORB,BRISK,7.08424,1.62685,128,54.3885,91,8.71109,10.4465

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,AKAZE,BRISK,50.3678,2.03177,166,7.72918,NA,52.3996,
1,AKAZE,BRISK,46.7328,1.89601,157,7.49021,137,48.6288,2.81726
2,AKAZE,BRISK,44.3868,1.97352,161,7.45212,125,46.3603,2.69627
3,AKAZE,BRISK,47.714,1.9348,155,7.57523,129,49.6488,2.59825
4,AKAZE,BRISK,46.9328,2.00012,163,7.73319,129,48.933,2.63626
5,AKAZE,BRISK,47.717,2.03891,164,7.68804,131,49.7559,2.63285
6,AKAZE,BRISK,46.6956,2.04789,173,7.73879,132,48.7435,2.70805
7,AKAZE,BRISK,48.0489,2.06955,175,7.82613,142,50.1185,2.83329
8,AKAZE,BRISK,45.2945,2.08392,177,7.81556,146,47.3784,3.08157
9,AKAZE,BRISK,47.358,2.09474,179,7.88576,144,49.4527,2.91187


imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,HARRIS,BRIEF,14.4615,14.1351,17,6,NA,28.5965,
1,HARRIS,BRIEF,8.6339,9.97794,14,6,11,18.6118,0.591022
2,HARRIS,BRIEF,8.0403,10.3822,18,6,10,18.4225,0.542814
3,HARRIS,BRIEF,8.18716,10.7142,21,6,12,18.9014,0.634875
4,HARRIS,BRIEF,8.873,11.8879,26,6,14,20.7609,0.674344
5,HARRIS,BRIEF,15.881,12.7673,43,6,17,28.6483,0.593404
6,HARRIS,BRIEF,8.27115,11.534,18,6,14,19.8051,0.706888
7,HARRIS,BRIEF,10.4489,11.6383,31,6,11,22.0872,0.498025
8,HARRIS,BRIEF,8.71314,11.3258,26,6,20,20.0389,0.998057
9,HARRIS,BRIEF,11.4283,11.485,34,6,19,22.9132,0.829215

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,SHITOMASI,BRIEF,8.334,12.8434,125,4,NA,21.1774,
1,SHITOMASI,BRIEF,8.19693,11.4587,118,4,73,19.6557,3.71394
2,SHITOMASI,BRIEF,8.63681,11.5828,123,4,70,20.2196,3.46198
3,SHITOMASI,BRIEF,8.37244,12.7972,120,4,65,21.1696,3.07044
4,SHITOMASI,BRIEF,8.3028,12.1455,120,4,72,20.4483,3.52107
5,SHITOMASI,BRIEF,8.27185,11.6961,113,4,62,19.9679,3.10498
6,SHITOMASI,BRIEF,8.51249,11.9342,114,4,62,20.4467,3.03227
7,SHITOMASI,BRIEF,7.99527,12.6875,123,4,74,20.6828,3.57786
8,SHITOMASI,BRIEF,8.37663,13.9237,111,4,73,22.3004,3.27349
9,SHITOMASI,BRIEF,12.6047,12.3567,112,4,71,24.9614,2.8444

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,SIFT,BRIEF,81.7544,71.1267,138,4.98471,NA,152.881,
1,SIFT,BRIEF,81.8557,61.3933,132,5.0898,45,143.249,0.314138
2,SIFT,BRIEF,81.5546,63.3288,124,4.93927,48,144.883,0.331301
3,SIFT,BRIEF,81.2379,62.7323,137,4.73122,53,143.97,0.368132
4,SIFT,BRIEF,81.0124,63.3769,134,4.71959,57,144.389,0.394766
5,SIFT,BRIEF,82.572,62.5784,140,4.68397,53,145.15,0.365138
6,SIFT,BRIEF,83.3135,63.107,137,5.40797,45,146.42,0.307334
7,SIFT,BRIEF,82.0067,63.7542,148,4.62187,42,145.761,0.288143
8,SIFT,BRIEF,83.0664,64.9466,159,5.51997,64,148.013,0.432394
9,SIFT,BRIEF,83.1547,63.7922,137,5.6251,62,146.947,0.421921

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,FAST,BRIEF,0.695384,16.342,149,7,NA,17.0374,
1,FAST,BRIEF,0.671041,15.8871,152,7,82,16.5581,4.95226
2,FAST,BRIEF,0.672987,14.5906,150,7,84,15.2636,5.50328
3,FAST,BRIEF,0.668899,14.9226,155,7,67,15.5915,4.29721
4,FAST,BRIEF,0.662716,14.9541,149,7,81,15.6168,5.18673
5,FAST,BRIEF,0.657335,15.685,149,7,70,16.3423,4.28336
6,FAST,BRIEF,0.667105,14.9066,156,7,83,15.5737,5.32948
7,FAST,BRIEF,0.676027,15.4879,150,7,90,16.1639,5.56797
8,FAST,BRIEF,0.670606,14.6897,138,7,86,15.3603,5.59886
9,FAST,BRIEF,0.651487,14.698,143,7,86,15.3495,5.60278

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,BRISK,BRIEF,32.5676,28.5785,264,21.5492,NA,61.146,
1,BRISK,BRIEF,32.6266,25.8436,282,21.7853,71,58.4702,1.21429
2,BRISK,BRIEF,31.9197,26.8601,282,21.6509,75,58.7798,1.27595
3,BRISK,BRIEF,32.2851,28.0135,277,20.3583,66,60.2986,1.09455
4,BRISK,BRIEF,32.17,28.0962,297,22.5911,60,60.2662,0.995583
5,BRISK,BRIEF,31.6991,25.1573,279,22.9442,48,56.8564,0.844232
6,BRISK,BRIEF,31.7289,25.7962,289,21.8014,82,57.5251,1.42546
7,BRISK,BRIEF,31.1301,26.3329,272,22.1472,69,57.463,1.20077
8,BRISK,BRIEF,31.5478,27.4603,266,22.5558,66,59.0081,1.11849
9,BRISK,BRIEF,31.5981,25.7257,254,22.0389,75,57.3238,1.30836

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,ORB,BRIEF,70.8111,31.8495,92,57.0723,NA,102.661,
1,ORB,BRIEF,6.34476,31.6555,102,57.2273,42,38.0002,1.10526
2,ORB,BRIEF,6.26482,34.3007,106,56.4948,45,40.5655,1.10932
3,ORB,BRIEF,5.91342,34.569,113,55.1436,34,40.4825,0.83987
